time,coin,dir,px,sz,ntl,fee,closedPnl
22/12/2025 - 13:32:11,BTC,Open Short,88283,0.09652,8521.07516,3.834482,-3.834482
22/12/2025 - 13:33:46,BTC,Close Short,88395.9423953585,0.09652,8531.976360000002,3.839387,-14.740587
22/12/2025 - 13:40:58,BTC,Open Short,88352,0.08647,7639.79744,3.437908,-3.437908
22/12/2025 - 13:43:00,BTC,Close Short,88480.746732971,0.08647,7650.930170000003,3.442917,-14.575647
22/12/2025 - 13:57:35,BTC,Open Short,88541,0.00434,384.26794,0.05764,-0.05764
22/12/2025 - 13:58:04,BTC,Open Short,88578,0.00434,384.42852,0.057664,-0.057664
22/12/2025 - 13:58:13,BTC,Close Short,88591,0.00176,155.92016,0.023388,-0.07882800000000001
22/12/2025 - 13:58:37,BTC,Open Short,88669,0.00177,156.94413,0.023541,-0.023541
22/12/2025 - 13:58:41,BTC,Close Short,88652,0.00001,0.8865200000000001,0.000132,-0.0008340000000000001
22/12/2025 - 13:58:54,BTC,Close Short,88652,0.00006,5.31912,0.000797,-0.0050089999999999996
22/12/2025 - 13:59:52,BTC,Close Short,88652,0.00427,378.54404000000005,0.056781,-0.35653500000000005
22/12/2025 - 13:59:54,BTC,Close Short,88574,0.00435,385.2969,0.173383,-0.139453
22/12/2025 - 14:11:01,BTC,Open Long,88561,0.00434,384.35474,0.057653,-0.057653
22/12/2025 - 14:12:01,BTC,Open Long,88558,0.00434,384.34172,0.057651,-0.057651
22/12/2025 - 14:12:07,BTC,Close Long,88514,0.00434,384.15076,0.057622,-0.255092
22/12/2025 - 14:12:09,BTC,Close Long,88520,0.00434,384.1768,0.172879,-0.344309
22/12/2025 - 14:12:18,BTC,Open Short,88537,0.00434,384.25058,0.057637,-0.057637
22/12/2025 - 14:12:22,BTC,Open Short,88541,0.00434,384.26794,0.05764,-0.05764
22/12/2025 - 14:13:04,BTC,Close Short,88537,0.00434,384.25058,0.057637,-0.048957
22/12/2025 - 14:14:11,BTC,Open Short,88529,0.00021,18.59109,0.002788,-0.002788
22/12/2025 - 14:14:19,BTC,Open Short,88534,0.00231,204.51354,0.030677,-0.030677
22/12/2025 - 14:14:35,BTC,Open Short,88534,0.00199,176.18266,0.026427,-0.026427
22/12/2025 - 14:16:09,BTC,Open Short,88536,0.00018,15.936480000000001,0.00239,-0.00239
22/12/2025 - 14:19:49,BTC,Close Short,88559,0.00024,21.25416,0.003188,-0.008636
22/12/2025 - 14:20:42,BTC,Close Short,88573,0.0002,17.7146,0.002657,-0.009997
22/12/2025 - 14:20:44,BTC,Close Short,88566,0.00451,399.43266,0.179744,-0.313691
22/12/2025 - 14:21:45,BTC,Close Short,88549,0.0002,17.7098,0.002656,-0.005196
22/12/2025 - 14:21:55,BTC,Open Short,88567,0.00019,16.827730000000003,0.002524,-0.002524
22/12/2025 - 14:22:28,BTC,Close Short,88549,0.00172,152.30428,0.022845,-0.042281
22/12/2025 - 14:22:58,BTC,Open Short,88567,0.0002,17.7134,0.002657,-0.002657
22/12/2025 - 14:23:54,BTC,Open Short,88567,0.00431,381.72376999999994,0.057258,-0.057258
22/12/2025 - 14:28:55,BTC,Close Short,88628,0.00019,16.83932,0.002525,-0.016034
22/12/2025 - 14:29:01,BTC,Close Short,88627,0.0005,44.3135,0.006647,-0.041697
22/12/2025 - 14:29:06,BTC,Open Short,88644,0.00032,28.366080000000004,0.004254,-0.004254
22/12/2025 - 14:29:07,BTC,Close Short,88627,0.00014,12.407779999999999,0.001861,-0.011073
22/12/2025 - 14:30:35,BTC,Open Short,88644,0.00017,15.06948,0.00226,-0.00226
22/12/2025 - 14:30:38,BTC,Open Short,88644,0.00205,181.7202,0.027258,-0.027258
22/12/2025 - 14:39:22,BTC,Close Short,88709,0.00014,12.41926,0.001862,-0.019544
22/12/2025 - 14:39:27,BTC,Open Short,88734,0.00021,18.634140000000002,0.002795,-0.002795
22/12/2025 - 14:41:07,BTC,Close Short,88775,0.00028,24.857,0.003728,-0.056564
22/12/2025 - 14:41:51,BTC,Open Short,88799,0.00028,24.863719999999997,0.003729,-0.003729
22/12/2025 - 14:42:12,BTC,Close Short,88781,0.0004,35.5124,0.005326,-0.080446
22/12/2025 - 14:42:32,BTC,Open Short,88802,0.0004,35.5208,0.005328,-0.005328
22/12/2025 - 14:43:05,BTC,Close Short,88784,0.00014,12.429759999999998,0.001864,-0.027218000000000003
22/12/2025 - 14:43:07,BTC,Close Short,88787,0.00014,12.430179999999998,0.001864,-0.027638
22/12/2025 - 14:44:07,BTC,Close Short,88800.9186602871,0.00836,742.3756800000001,0.334068,-1.989504
22/12/2025 - 15:04:32,BTC,Open Short,88419,0.00433,382.85427,0.057428,-0.057428
22/12/2025 - 15:04:33,BTC,Open Short,88438,0.00433,382.93654,0.172321,-0.172321
22/12/2025 - 15:06:37,BTC,Close Short,88499,0.00022,19.46978,0.00292,-0.01843
22/12/2025 - 15:06:38,BTC,Close Short,88471,0.00433,383.07942999999995,0.172385,-0.35641
22/12/2025 - 15:06:49,BTC,Close Short,88454,0.00019,16.80626,0.00252,-0.007365
22/12/2025 - 15:09:14,BTC,Open Short,88397,0.0044,388.9468,0.058342,-0.058342
22/12/2025 - 15:09:18,BTC,Open Short,88402,0.00049,43.31698,0.006497,-0.006497
22/12/2025 - 15:23:04,BTC,Close Short,88601,0.00018,15.94818,0.002392,-0.036556
22/12/2025 - 15:23:09,BTC,Close Short,88609,0.00019,16.835710000000002,0.002525,-0.040107
